id,timezone,venue_id,race_number,distance,condition_id,weather_id,total_pool_one_win,total_pool_one_place,total_pool_two_win,total_pool_two_place,total_pool_three_win,total_pool_three_place
167,2016-07-01 19:41:00,42,3,1200,5,1,3468.35,,8850.5,4113.0,6951.7,4113.0
168,2016-07-01 19:43:00,46,2,1600,4,1,248.94,,1842.0,590.5,1928.5,590.5
169,2016-07-01 19:45:00,38,5,1800,7,1,42372.64,,93693.0,50648.5,37018.0,50648.5
170,2016-07-01 19:49:00,43,3,1000,3,2,13129.46,,9533.5,3565.0,23949.2,3565.0
171,2016-07-01 19:53:00,39,4,1200,5,1,6540.82,,8645.0,2776.0,6741.59,2776.0
172,2016-07-01 19:57:00,40,4,1200,7,1,71461.58,,40320.0,18184.5,26588.4,18184.5
173,2016-07-01 20:01:00,44,3,1000,6,1,17562.68,,11439.0,3711.0,9769.65,3711.0
174,2016-07-01 20:05:00,36,5,1200,6,2,146970.19,,120018.0,60403.0,172631.0,60403.0
175,2016-07-01 20:09:00,37,5,2200,5,1,7431.22,,17318.0,6870.5,9574.3,6870.5
176,2016-07-01 20:13:00,41,4,2044,8,2,28351.73,,32500.5,11149.0,22010.9,11149.0
177,2016-07-01 20:17:00,42,4,900,5,1,6743.56,,11235.5,4114.5,7214.34,4114.5
178,2016-07-01 20:19:00,45,3,1200,1,1,778.47,,3799.5,1475.5,1635.5,1475.5
179,2016-07-01 20:21:00,43,4,1000,3,2,1815.49,,7027.5,2642.0,18096.0,2642.0
180,2016-07-01 20:25:00,38,6,1500,7,1,110353.3,,130158.0,71516.0,40558.1,71516.0
181,2016-07-01 20:27:00,46,3,1300,4,1,834.28,,2033.0,657.0,2188.0,657.0
182,2016-07-01 20:29:00,39,5,1200,5,1,4123.42,,4013.5,1380.5,3675.85,1380.5
183,2016-07-01 20:33:00,19,1,1000,5,1,19524.04,,13598.0,2681.0,26596.6,2681.0
184,2016-07-01 20:37:00,40,5,1600,7,1,131818.69,,114620.0,48753.5,69611.2,48753.5
185,2016-07-01 20:41:00,44,4,1600,6,1,5110.55,,12716.0,3533.0,7530.05,3533.0
186,2016-07-01 20:45:00,36,6,1400,6,2,166620.89,,130598.0,66176.1,165551.0,66176.1
187,2016-07-01 20:47:00,47,1,1200,9,1,4116.6,,3284.5,836.5,5901.12,836.5
188,2016-07-01 20:49:00,37,6,1150,5,1,7426.07,,25050.5,11285.0,8650.91,11285.0
189,2016-07-01 20:53:00,41,5,1200,8,2,21044.21,,27533.0,11161.5,19178.5,11161.5
190,2016-07-01 20:55:00,45,4,1400,1,1,4925.93,,6757.0,2745.0,3519.0,2745.0
191,2016-07-01 20:57:00,42,5,1800,5,1,6822.27,,10934.5,4749.5,9076.62,4749.5
192,2016-07-01 21:01:00,43,5,1350,3,2,8080.51,,12415.0,4188.0,19840.1,4188.0
193,2016-07-01 21:03:00,46,4,1300,4,1,5360.45,,4489.5,1259.0,2502.0,1259.0
194,2016-07-01 21:05:00,38,7,1350,7,1,110658.43,,196151.0,87895.9,69008.8,87895.9
195,2016-07-01 21:09:00,39,6,1300,5,1,4046.48,,10202.0,3424.5,8030.55,3424.5
196,2016-07-01 21:13:00,19,2,1400,5,1,37980.67,,23609.5,7795.0,40040.1,7795.0
197,2016-07-01 21:17:00,40,6,1400,7,1,59073.25,,107852.0,50151.5,63218.4,50151.5
198,2016-07-01 21:21:00,44,5,1600,6,1,15954.83,,18060.5,5409.5,15213.1,5409.5
199,2016-07-01 21:25:00,36,7,1100,6,2,147028.83,,134181.0,55759.4,166669.0,55759.4
200,2016-07-01 21:27:00,47,2,1100,9,1,852.81,,2412.5,492.5,8078.83,492.5
201,2016-07-01 21:29:00,37,7,1200,5,1,3975.48,,16844.5,7726.5,4574.1,7726.5
202,2016-07-01 21:33:00,41,6,1600,8,2,110607.18,,43363.5,16922.5,40067.0,16922.5
203,2016-07-01 21:35:00,45,5,1100,1,1,4015.18,,7494.0,2606.5,4215.5,2606.5
204,2016-07-01 21:37:00,42,6,1300,5,1,12451.71,,13591.5,3940.5,10276.5,3940.5
205,2016-07-01 21:39:00,46,5,1200,4,1,403.78,,2495.5,802.0,1947.5,802.0
206,2016-07-01 21:41:00,43,6,1620,3,2,3539.68,,10699.5,4047.0,24389.5,4047.0
207,2016-07-01 21:45:00,38,8,1200,7,1,111325.95,,213788.0,91313.3,76790.2,91313.3
208,2016-07-01 21:49:00,39,7,1800,5,1,5568.37,,10548.0,3434.5,7135.67,3434.5
